x,y
4.000000000000000222e-01,2.000000000000000111e-01
9.103999999999999870e-01,5.519999999999999352e-01
2.999221759999999293e-01,8.152819200000001043e-01
7.929912619550177899e-01,5.026384754739116056e-01
6.158214992089592332e-01,8.351168426677870738e-01
8.887387870984317928e-01,4.305101655546749173e-01
3.680999688925403746e-01,8.198379619438038723e-01
8.778534042508657764e-01,4.867846405198749671e-01
3.989153475285726058e-01,8.316561845765981786e-01
9.045359852140836265e-01,4.568385717228610199e-01
3.198678807829662407e-01,8.271571261260575181e-01
8.214075746400757438e-01,4.739306521864392052e-01
5.496634451119386533e-01,8.336923391100092839e-01
9.314624563689581915e-01,4.394479595396532656e-01
2.344059797106637366e-01,8.212341488023966463e-01
6.780972583644434559e-01,4.945799562290110751e-01
8.227617266924430739e-01,8.413598497032320767e-01
5.402897239193178436e-01,3.979332172659011957e-01
9.395316203948210765e-01,8.170383787085941929e-01
2.005327599203342304e-01,4.464399933031067969e-01
6.074230971725399497e-01,8.560070554896118677e-01
8.957498879997234376e-01,3.794105718609528388e-01
3.480545598181769007e-01,7.901179666488056252e-01
8.567677329684900700e-01,5.529100628878305113e-01
4.568494718852744163e-01,8.178302882466331747e-01
9.354520146034520645e-01,4.840811440279917388e-01
2.203931696873702717e-01,8.288295969446457523e-01
6.492627100415655494e-01,4.782819984061426610e-01
8.591278315569953472e-01,8.422960827787654425e-01
4.454305621419139549e-01,3.925528702874266362e-01
9.351871696033883241e-01,8.171073955395979915e-01
2.150431171179149892e-01,4.466353136796578083e-01
6.395174676115054080e-01,8.554281508818990520e-01
8.650913047833238556e-01,3.781417789848003919e-01
4.369491455526175461e-01,7.903142924010327919e-01
9.279868979674756879e-01,5.454789252186413862e-01
2.438194717246690846e-01,8.171411061913222973e-01
6.966271420870534525e-01,5.030518243894973596e-01
7.960747234848524201e-01,8.399234468130214459e-01
6.035182443173967570e-01,4.037179935066302350e-01
9.044060742622771487e-01,8.181890958255911839e-01
3.137322592159431656e-01,4.466474287259421527e-01
8.153538950864294144e-01,8.510244902958448154e-01
5.582195765849724545e-01,3.743477119462321201e-01
9.329404630034491275e-01,7.988434366481672599e-01
2.228322435654886136e-01,4.878967647377141503e-01
6.559021495993285766e-01,8.636153778651652901e-01
8.463102313957966416e-01,3.555987811530257892e-01
4.882441120610074847e-01,7.719243193081110066e-01
9.419370864981324587e-01,5.785113256049830843e-01
1.969296985437295477e-01,7.989337738764660246e-01
5.978172152808624018e-01,5.465017172013189040e-01
