x,y
8.301177825457234372e-01,8.922211678987896910e-01
3.320471130182893749e-01,3.122774087645763808e-01
1.328188452073157666e-01,1.092970930676017277e-01
5.312753808292630664e-02,3.825398257366060401e-02
2.125101523317052266e-02,1.338889390078121071e-02
3.422262363333859470e-01,2.063799283272226281e-01
6.617556278231326861e-01,5.226765986345208725e-01
5.372682726361615035e-01,3.871237993918478226e-01
3.339529125677874744e-01,2.126589121336162624e-01
1.828024776181336741e-01,1.021368397148063323e-01
6.058324413882548720e-01,3.792794892215383684e-01
7.720335053757485522e-01,6.560256916650704095e-01
8.971456540050950501e-01,7.272420400280383834e-01
8.852297447025183619e-01,6.057173946896043937e-01
7.076097115168512586e-01,4.043453144132793664e-01
8.481572600651485772e-01,6.353105745212879185e-01
7.557574835154894366e-01,6.956553609736895183e-01
5.206703859754866492e-01,6.595269520640103522e-01
4.486975306168904387e-01,7.317496778895483667e-01
6.690987446456361232e-01,7.612777477020499228e-01
5.724097676122972267e-01,7.524019717897341142e-01
6.657873181838663834e-01,7.074055199879556444e-01
8.569229231715831396e-01,7.185712889047055629e-01
9.281598454353556793e-01,6.632080192431426546e-01
8.952151070394890331e-01,6.132962405514469362e-01
9.372973021699921858e-01,6.053899237708499914e-01
9.014943951223053364e-01,6.460178332963693038e-01
6.507420312180711708e-01,6.502614928252962168e-01
4.180914418226212570e-01,6.960791185542631876e-01
3.892239438345456159e-01,7.410614809365819733e-01
2.947699284502450778e-01,7.604317611957264189e-01
3.280564047750418322e-01,7.457878932216654988e-01
6.690678474678053433e-01,7.380254280869951167e-01
8.433695285454627655e-01,7.020255560704160569e-01
8.999270953573922371e-01,6.481826254539622134e-01
8.519154207669346057e-01,6.089630708654847346e-01
8.624213474278229485e-01,6.107844724084821042e-01
8.689444337130552976e-01,6.192990214399680671e-01
6.601830789626565998e-01,6.555060682869063848e-01
4.771941196218544290e-01,7.077280862529283789e-01
4.894217520975483460e-01,7.471586237106202510e-01
4.765529444669892589e-01,7.601198202991845676e-01
4.601155253487224095e-01,7.605472622020339468e-01
7.149448016045125698e-01,7.398277312264074368e-01
8.763662050029953354e-01,6.927902036216970760e-01
9.419007829881183014e-01,6.387067449951354670e-01
9.670784167791497410e-01,6.059870954738748594e-01
9.746859519887727252e-01,5.940684257141000124e-01
8.721592776583786399e-01,6.116420260515735841e-01
6.052678348394482377e-01,6.604738849929346900e-01
3.716094755359314883e-01,7.151687354942408703e-01
2.239870813547632511e-01,7.511045456536638021e-01
1.479834900426302835e-01,7.686831720169379212e-01
3.230495359070996164e-01,7.672533436611002067e-01
6.946152468304085392e-01,7.388824666593134527e-01
8.304559093274881398e-01,6.858595448523919780e-01
7.435158871676796899e-01,6.321572498667497042e-01
5.957820608682991015e-01,5.941969448089878814e-01
7.558340843465365388e-01,5.825180895388382130e-01
8.043222238148183267e-01,6.085485098554791472e-01
6.549261491358100429e-01,6.648954122359962415e-01
7.132575453684457667e-01,7.204371502396438309e-01
8.552115906366259956e-01,7.578988349493998022e-01
7.788153091123244387e-01,7.753391532394457997e-01
6.839810787495126387e-01,7.710116258500874231e-01
8.084111079769313868e-01,7.371804475397822909e-01
8.073590887017485507e-01,6.804503458597168652e-01
6.159719310234308409e-01,6.230104688900428567e-01
6.540427910015147450e-01,5.834007880018483583e-01
