A,B
2.913510411800681807e-02,-1.008491352316953719e-04
2.621150879268296582e-02,8.039840137710627110e-03
2.439434192718573091e-02,1.528266349865959293e-02
2.348317408433311590e-02,2.194565849942221175e-02
2.332942252584202514e-02,2.828772177172816232e-02
2.382525245043063886e-02,3.452367649651741366e-02
2.489509485503931668e-02,4.083609137549630563e-02
2.648919450708501697e-02,4.738461379852892258e-02
2.857873643622940718e-02,5.431340865634221027e-02
3.115220365824068749e-02,6.175716233719620585e-02
3.421269952613623794e-02,6.984600994486872549e-02
3.777603056800948877e-02,7.870966579479182768e-02
4.186939409068772544e-02,8.848097746999800117e-02
4.653055242861875440e-02,9.929907804917270653e-02
5.180740499067414823e-02,1.113122763957209854e-01
5.775789213117882986e-02,1.246807991856768438e-01
6.445018283662863612e-02,1.395794787811365512e-01
7.196311243107943179e-02,1.562004666861991353e-01
8.038684785659140630e-02,1.747560420511602708e-01
8.982376727604829414e-02,1.954815776743439037e-01
1.003895483158778607e-01,2.186387215463836964e-01
1.122144656389284512e-01,2.445188497006468842e-01
1.254449040451002806e-01,2.734468456065114461e-01
1.402450982012413971e-01,3.057852622908679985e-01
1.567991146102040712e-01,3.419389255871491118e-01
1.753130957078985752e-01,3.823600402292979261e-01
1.960177901600385075e-01,4.275538648020704713e-01
2.191713976242417039e-01,4.780850267179014290e-01
2.450627605336076764e-01,5.345845543046214843e-01
2.740149399107090766e-01,5.977577096314421468e-01
3.063892168827823670e-01,6.683927127084409170e-01
3.425895664653482164e-01,7.473704549367221617e-01
3.830676553124855999e-01,8.356753068285104336e-01
4.283284204640880888e-01,9.344071315704648439e-01
4.789362915747257810e-01,1.044794621257151723e+00
5.355221245429684362e-01,1.168210075541382897e+00
5.987909196428098380e-01,1.306185741544624968e+00
6.695304018329913953e-01,1.460431827011373196e+00
7.486205443508295865e-01,1.632856282840722262e+00
8.370441181998188318e-01,1.825586421987844599e+00
9.358983485786214196e-01,2.040992393239223102e+00
1.046407753044681588e+00,2.281712452025900895e+00
1.169938222942803474e+00,2.550679854366338262e+00
1.308012386085156908e+00,2.851151027688600958e+00
1.462326250245501225e+00,3.186734420762176612e+00
1.634767067297168808e+00,3.561419072697910249e+00
1.827432267837242996e+00,3.979601424691145084e+00
2.042649183522633027e+00,4.446108169053564652e+00
2.282995082075726323e+00,4.966211908821406951e+00
