x,z
4.779284551645442136e-02,-6.303011693122255454e-02
4.920956551559232256e-02,-6.173990212376662123e-02
5.176386553241070498e-02,-6.046831866850654186e-02
5.536888901005854180e-02,-5.921349632233401800e-02
5.997811434845673473e-02,-5.797304848856684595e-02
6.557856348840847283e-02,-5.674402333889566608e-02
7.218584942450523290e-02,-5.552280776020108305e-02
7.984067631335549364e-02,-5.430498661830876483e-02
8.860649813993447255e-02,-5.308515463569320886e-02
9.856811357290914954e-02,-5.185667404191986185e-02
1.098310304476903254e-01,-5.061136738398067797e-02
1.225214769472506016e-01,-4.933913100222025311e-02
1.367869708525790429e-01,-4.802745032077621046e-02
1.527973854090987904e-01,-4.666079294948240891e-02
1.707464721068681635e-01,-4.521984932882415487e-02
1.908538183210923833e-01,-4.368058292192723846e-02
2.133672323283794525e-01,-4.201304236113785617e-02
2.385655604955715936e-01,-4.017987600156677080e-02
2.667619520438091474e-01,-3.813447441962398293e-02
2.983075961897599382e-01,-3.581864777956395018e-02
3.335959650116753217e-01,-3.315972175685521356e-02
3.730676033350214249e-01,-3.006690671529055336e-02
4.172155144474937183e-01,-2.642675867530561509e-02
4.665911976164676123e-01,-2.209750554138864564e-02
5.218114001806526403e-01,-1.690195592892447529e-02
5.835656532999967672e-01,-1.061863810802951211e-02
6.526246660143797396e-01,-2.970729841662233042e-03
7.298496566417651543e-01,6.387767673690921549e-03
8.162027030540972561e-01,1.788929166061922066e-02
9.127581929803570970e-01,3.207425953938757707e-02
1.020715450708979954e+00,4.961793668547673231e-02
1.141412605254745527e+00,7.136392331507479536e-02
1.276341744175012227e+00,9.836585420109364430e-02
1.427165362474295485e+00,1.319392676005982368e-01
1.595734061407464432e+00,1.737260327985278019e-01
1.784105369092121141e+00,2.257742352763440763e-01
1.994563432041577267e+00,2.906370062587357861e-01
2.229639148006721250e+00,3.714944416604426536e-01
2.492130053936140399e+00,4.723034601160734369e-01
2.785118918659111653e+00,5.979811484955441792e-01
3.111989478071298887e+00,7.546277373335192884e-01
3.476437038142265123e+00,9.497956649280741015e-01
3.882470688934907432e+00,1.192810938665952669e+00
4.334402533341977559e+00,1.495151720327694500e+00
4.836817529958700845e+00,1.870886022544006710e+00
5.394515155943499174e+00,2.337164505652246760e+00
6.012410982068458587e+00,2.914753993098775364e+00
6.695382307182472736e+00,3.628580200965108471e+00
7.448037184131658606e+00,4.508221253993145439e+00
8.274380615232626468e+00,5.588253068045656136e+00
9.177345873350009953e+00,6.908289575141617789e+00
1.015815389682651038e+01,8.512482003109793638e+00
1.121546161347671244e+01,1.044814271916721360e+01
1.234426453427815318e+01,1.276305023956046192e+01
1.353453585375636159e+01,1.550090030721195689e+01
1.476962200209606024e+01,1.869435068455203108e+01
1.602448365119635199e+01,2.235526423392281004e+01
1.726398181976674451e+01,2.646223152591335293e+01
1.844156468214202604e+01,3.094641449085902707e+01
1.949889745481589998e+01,3.567828635207951038e+01
2.036714556439993018e+01,4.045977872998385294e+01
2.097066936626698919e+01,4.502799505221938148e+01
2.123366827727047479e+01,4.907665120850212048e+01
2.108967818448678955e+01,5.229806108288548216e+01
2.049275871347497358e+01,5.444096116591062184e+01
1.942797241734491109e+01,5.536963267467864824e+01
1.791797161775031455e+01,5.510307575520695877e+01
1.602290646501725746e+01,5.381597894700202289e+01
1.383274836533155217e+01,5.179772484644249886e+01
1.145383773417558970e+01,4.938453240846022396e+01
8.993586584613213475e+00,4.689081400345862249e+01
6.547574259540800412e+00,4.456200135668181872e+01
4.191733532247811311e+00,4.255696440583005113e+01
1.980046776928020780e+00,4.095445126425692450e+01
-5.356508466649634315e-02,3.977190343015273299e+01
-1.891110107735207935e+00,3.898633687920654722e+01
-3.525841050177772829e+00,3.855151873688626551e+01
-4.958084106124668544e+00,3.840979004930868967e+01
-6.192051606962994725e+00,3.849923169369466791e+01
-7.233711984011407914e+00,3.875766357201493406e+01
-8.089585883496713592e+00,3.912489071960187914e+01
-8.766262102153776326e+00,3.954420994148914303e+01
-9.270418591954330267e+00,3.996375604810528159e+01
-9.609152035665287528e+00,4.033790761727317431e+01
-9.790445355478123446e+00,4.062871500068622055e+01
-9.823630427979511026e+00,4.080715856715276857e+01
-9.719733953026143070e+00,4.085398848639378855e+01
-9.491629667293425499e+00,4.075992970075530053e+01
-9.153959770715271560e+00,4.052513768333933086e+01
-8.722829405793154578e+00,4.015792972286819662e+01
-8.215314814765795504e+00,3.967295233698827417e+01
-7.648852452445452421e+00,3.908904060158786109e+01
-7.040588656899466002e+00,3.842705722551934144e+01
-6.406766591010370604e+00,3.770796692260643113e+01
-5.762211742885343213e+00,3.695132291896705112e+01
-5.119954483316669247e+00,3.617424506998217026e+01
-4.491003892519633389e+00,3.539087966798127383e+01
-3.884266149533170953e+00,3.461226707769883859e+01
-3.306586085024651567e+00,3.384651065936589731e+01
-2.762882756280957697e+00,3.309913537543481965e+01
-2.256348216821837838e+00,3.237353832472243909e+01
-1.788681280746209357e+00,3.167145668525546398e+01
-1.360333134021888490e+00,3.099340352762246198e+01
-9.707475363105098065e-01,3.033904389971473847e+01
-6.185839952112380802e-01,2.970750034052292321e+01
-3.019170749936054832e-01,2.909758828643783346e+01
-1.840869962223601330e-02,2.850798845796797210e+01
2.345470521782649365e-01,2.793736641896557060e+01
4.597054313872673270e-01,2.738445023719478399e+01
6.598765323529001137e-01,2.684807649751942549e+01
8.378520783501768321e-01,2.632721352656216851e+01
9.963505650417529003e-01,2.582096904573187146e+01
1.137977913742311387e+00,2.532858785819214020e+01
1.265200982243295247e+00,2.484944374255721655e+01
1.380331543311308806e+00,2.438302853285571459e+01
1.485518628551127041e+00,2.392894041906375335e+01
1.582747422678610238e+00,2.348687278513099486e+01
1.673843165668941424e+00,2.305660437871182822e+01
1.760478769975212243e+00,2.263799124198732216e+01
1.844185083618015142e+00,2.223096059095101396e+01
1.926362926573037093e+00,2.183550668057653965e+01
2.008296198144361000e+00,2.145168860989454274e+01
2.091165498307911097e+00,2.107962998393759690e+01
2.176061828124340458e+00,2.071952034325648739e+01
2.264000035175768755e+00,2.037161828474938829e+01
2.355931751494891202e+00,2.003625622154518382e+01
2.452757635455395935e+00,1.971384675873020953e+01
2.555338777257181615e+00,1.940489069161925784e+01
2.664507161456393547e+00,1.910998666099188981e+01
2.781075100726904559e+00,1.882984252280482451e+01
2.905843563723432776e+00,1.856528850608712133e+01
3.039609317319188264e+00,1.831729223954699037e+01
3.183170790125861238e+00,1.808697572181051072e+01
3.337332540332032860e+00,1.787563428818650380e+01
3.502908176549540897e+00,1.768475758313385171e+01
3.680721535383048248e+00,1.751605247526031306e+01
3.871605863573451600e+00,1.737146774171918651e+01
4.076400685557662662e+00,1.725322018987572292e+01
4.295945959072376752e+00,1.716382166191699099e+01
4.531073032400442457e+00,1.710610606556457469e+01
4.782591818246623383e+00,1.708325517127172333e+01
5.051273493641475376e+00,1.709882139109150501e+01
5.337827927424409147e+00,1.715674508393064102e+01
5.642874934554209965e+00,1.726136309546341607e+01
5.966908371887485352e+00,1.741740422497288776e+01
6.310252041199434281e+00,1.762996611714364192e+01
6.673006377841491421e+00,1.790446673236033348e+01
7.054985012888324469e+00,1.824656212568692837e+01
7.455640549584835242e+00,1.866202089916643914e+01
7.873979350259257437e+00,1.915654461380653828e+01
8.308465857945257937e+00,1.973552300856208319e+01
8.756918055531366818e+00,2.040371357477373238e+01
9.216397170442194309e+00,2.116483753734139128e+01
9.683096722409350932e+00,2.202108939764758588e+01
1.015223849847003734e+01,2.297256575046183613e+01
1.061798595209885576e+01,2.401663182368026028e+01
1.107338865886672252e+01,2.514726139829724261e+01
1.151037442927622578e+01,2.635440686164835355e+01
1.191980785956062405e+01,2.762347912808038330e+01
1.229163463126513811e+01,2.893503810718305758e+01
1.261512870667099051e+01,3.026480726215132933e+01
1.287925365237112985e+01,3.158412285823202126e+01
1.307313889022974074e+01,3.286090186327167117e+01
1.318665667085910265e+01,3.406115680170643856e+01
1.321106711153867685e+01,3.515100201726603046e+01
1.313967935330029313e+01,3.609899407267354121e+01
1.296846081379174365e+01,3.687855025544725862e+01
1.269651844907662408e+01,3.747012161908504169e+01
1.232638015259532693e+01,3.786278822298231717e+01
1.186402297642618464e+01,3.805500990321149857e+01
1.131862623248203192e+01,3.805440016685680860e+01
1.070206623887541575e+01,3.787656394967249440e+01
1.002820722085258787e+01,3.754320650383743185e+01
9.312070986971511033e+00,3.707983551923224752e+01
8.568980279224630792e+00,3.651341412748178072e+01
7.813765405437820277e+00,3.587027793918392149e+01
7.060103909721069826e+00,3.517452826624820261e+01
6.320034907635348809e+00,3.444699196757495230e+01
5.603660476806392232e+00,3.370472939958310832e+01
4.919021984176667139e+00,3.296099675277971386e+01
4.272122698592086820e+00,3.222553340979838055e+01
3.667060060347280714e+00,3.150504288202910530e+01
3.106230192417152480e+00,3.080375563831682229e+01
2.590571347136497504e+00,3.012399167821354951e+01
2.119819634228397920e+00,2.946667085378781081e+01
1.692757686409916307e+00,2.883174435932691182e+01
1.307443655544429317e+00,2.821853942924645864e+01
