y,z
6.196004550783345416e-02,-6.303011693122255454e-02
7.475256568377613986e-02,-6.173990212376662123e-02
8.781410030888908702e-02,-6.046831866850654186e-02
1.014611423940404711e-01,-5.921349632233401800e-02
1.159826057479741435e-01,-5.797304848856684595e-02
1.316514228493760319e-01,-5.674402333889566608e-02
1.487341183130078126e-01,-5.552280776020108305e-02
1.674988945791452410e-01,-5.430498661830876483e-02
1.882226524696812564e-01,-5.308515463569320886e-02
2.111972823207209637e-01,-5.185667404191986185e-02
2.367354954432930869e-01,-5.061136738398067797e-02
2.651764160005349313e-01,-4.933913100222025311e-02
2.968911164177766016e-01,-4.802745032077621046e-02
3.322882523867924931e-01,-4.666079294948240891e-02
3.718199342491101955e-01,-4.521984932882415487e-02
4.159879583939631864e-01,-4.368058292192723846e-02
4.653505140003008078e-01,-4.201304236113785617e-02
5.205294759779469649e-01,-4.017987600156677080e-02
5.822183935033171664e-01,-3.813447441962398293e-02
6.511912844089140506e-01,-3.581864777956395018e-02
7.283123482451365760e-01,-3.315972175685521356e-02
8.145467144597442477e-01,-3.006690671529055336e-02
9.109723461372325470e-01,-2.642675867530561509e-02
1.018793223258317449e+00,-2.209750554138864564e-02
1.139353931374094131e+00,-1.690195592892447529e-02
1.274155780443826602e+00,-1.061863810802951211e-02
1.424874572288234109e+00,-2.970729841662233042e-03
1.593380120765085506e+00,6.387767673690921549e-03
1.781757602316695444e+00,1.788929166061922066e-02
1.992330770266584450e+00,3.207425953938757707e-02
2.227686996166635236e+00,4.961793668547673231e-02
2.490703994457411419e+00,7.136392331507479536e-02
2.784577927167843470e+00,9.836585420109364430e-02
3.112852351805985407e+00,1.319392676005982368e-01
3.479447138254030403e+00,1.737260327985278019e-01
3.888685998586682402e+00,2.257742352763440763e-01
4.345320591693017320e+00,2.906370062587357861e-01
4.854548207300911855e+00,3.714944416604426536e-01
5.422018701165854715e+00,4.723034601160734369e-01
6.053824512780982658e+00,5.979811484955441792e-01
6.756465078780959921e+00,7.546277373335192884e-01
7.536773546068687324e+00,9.497956649280741015e-01
8.401789133005605592e+00,1.192810938665952669e+00
9.358552499509208644e+00,1.495151720327694500e+00
1.041379378980668058e+01,1.870886022544006710e+00
1.157347341719309419e+01,2.337164505652246760e+00
1.284212423320860097e+01,2.914753993098775364e+00
1.422193107667433409e+01,3.628580200965108471e+00
1.571147149514133901e+01,4.508221253993145439e+00
1.730403319640645421e+01,5.588253068045656136e+00
1.898542610811501419e+01,6.908289575141617789e+00
2.073123106332853993e+01,8.512482003109793638e+00
2.250349082149112334e+01,1.044814271916721360e+01
2.424697772906023019e+01,1.276305023956046192e+01
2.588539733715334634e+01,1.550090030721195689e+01
2.731823849309896346e+01,1.869435068455203108e+01
2.841946533690027721e+01,2.235526423392281004e+01
2.903981044351954566e+01,2.646223152591335293e+01
2.901489240888077248e+01,3.094641449085902707e+01
2.818137855065619135e+01,3.567828635207951038e+01
2.640238358307052025e+01,4.045977872998385294e+01
2.360065847630186298e+01,4.502799505221938148e+01
1.979376734943361527e+01,4.907665120850212048e+01
1.512048347436861917e+01,5.229806108288548216e+01
9.844895752174359416e+00,5.444096116591062184e+01
4.327964421398933226e+00,5.536963267467864824e+01
-1.032679909580244804e+00,5.510307575520695877e+01
-5.878674531839791939e+00,5.381597894700202289e+01
-9.956357946228074240e+00,5.179772484644249886e+01
-1.314867376144816902e+01,4.938453240846022396e+01
-1.546653666611091182e+01,4.689081400345862249e+01
-1.701083301338909237e+01,4.456200135668181872e+01
-1.792513402095009667e+01,4.255696440583005113e+01
-1.835607183901715089e+01,4.095445126425692450e+01
-1.842901531535360959e+01,3.977190343015273299e+01
-1.823841953216085443e+01,3.898633687920654722e+01
-1.784827160964672998e+01,3.855151873688626551e+01
-1.729775911450792591e+01,3.840979004930868967e+01
-1.660865537744712483e+01,3.849923169369466791e+01
-1.579245097886446558e+01,3.875766357201493406e+01
-1.485634807006734626e+01,3.912489071960187914e+01
-1.380782700015932285e+01,3.954420994148914303e+01
-1.265775302906389754e+01,3.996375604810528159e+01
-1.142208523379364493e+01,4.033790761727317431e+01
-1.012229608049200102e+01,4.062871500068622055e+01
-8.784665678445827908e+00,4.080715856715276857e+01
-7.438691095698965583e+00,4.085398848639378855e+01
-6.114930701511887889e+00,4.075992970075530053e+01
-4.842656121494093746e+00,4.052513768333933086e+01
-3.647683495519571828e+00,4.015792972286819662e+01
-2.550691191562362903e+00,3.967295233698827417e+01
-1.566214496985591342e+00,3.908904060158786109e+01
-7.023679980085103525e-01,3.842705722551934144e+01
3.878189023990574746e-02,3.770796692260643113e+01
6.603608528013931167e-01,3.695132291896705112e+01
1.169551424653685778e+00,3.617424506998217026e+01
1.576373537344992970e+00,3.539087966798127383e+01
1.892534495552024243e+00,3.461226707769883859e+01
2.130447202412286245e+00,3.384651065936589731e+01
2.302462638310239118e+00,3.309913537543481965e+01
2.420321143934447861e+00,3.237353832472243909e+01
2.494800186496997974e+00,3.167145668525546398e+01
2.535522843091897904e+00,3.099340352762246198e+01
2.550887874682207457e+00,3.033904389971473847e+01
2.548085206965087668e+00,2.970750034052292321e+01
2.533166678720089049e+00,2.909758828643783346e+01
2.511148818382773484e+00,2.850798845796797210e+01
2.486130844268288786e+00,2.793736641896557060e+01
2.461416441043595693e+00,2.738445023719478399e+01
2.439631992325666854e+00,2.684807649751942549e+01
2.422836945265937292e+00,2.632721352656216851e+01
2.412624052047337209e+00,2.582096904573187146e+01
